ID,Nom_du_Vin,Type,Region,Cepages,Prix,Description_Narrative,Mots_Cles,Accords_Mets
1,"Morgon ""Côte du Py""",Rouge,Beaujolais,Gamay,"€18,00","Un rouge léger et croquant, plein de fruits rouges. Idéal pour un apéritif dînatoire ou une planche de charcuterie entre copains. Très facile à boire, c'est le vin de la convivialité sans prise de tête.","Fruité, Léger, Copains, Apéro, Gouleyant","Charcuterie, Terrines"
2,"Brouilly ""Château de Pierreux""",Rouge,Beaujolais,Gamay,"€16,00",Un vin rouge souple avec des notes de myrtille et de pivoine. Parfait pour ceux qui n'aiment pas les vins trop forts. Il accompagne bien un déjeuner léger ou une volaille rôtie le dimanche.,"Souple, Floral, Déjeuner, Léger, Volaille","Poulet rôti, Fromage frais"
3,"Fleurie ""La Madone""",Rouge,Beaujolais,Gamay,"€19,00","Le plus féminin des vins du Beaujolais. Élégant, soyeux, avec des arômes de violette. Une belle option pour un rendez-vous galant décontracté ou un pique-nique chic.","Élégant, Soyeux, Galant, Floral, Pique-nique","Carpaccio, Salades composées"
4,"Saint-Amour ""Vers l'Église""",Rouge,Beaujolais,Gamay,"€20,00","Un vin au nom évocateur pour la Saint-Valentin. Tendre et fruité, il offre des notes de kirsch et d'épices douces. C'est un vin de plaisir immédiat, parfait pour séduire en douceur.","Romantique, Tendre, Fruité, Épices, Plaisir","Dinde, Tarte aux fraises"
5,"Pinot Noir d'Alsace ""Réserve""",Rouge,Alsace,Pinot Noir,"€15,00","Un rouge très léger, presque transparent, aux arômes de cerise griotte. Idéal en été quand il fait chaud mais qu'on veut boire du rouge, servi un peu frais lors d'un barbecue.","Très léger, Frais, Été, Cerise, Barbecue","Grillades, Thon rouge"
6,"Sancerre Rouge ""La Croix au Garde""",Rouge,Loire,Pinot Noir,"€22,00","Un vin rouge fin et délicat, avec une belle minéralité typique de la Loire. C'est un choix raffiné pour accompagner un poisson ou une viande blanche sans écraser le plat.","Fin, Minéral, Délicat, Raffiné, Poisson","Saumon, Veau"
7,"Saumur-Champigny ""Les Roches""",Rouge,Loire,Cabernet Franc,"€14,00","Un vin de bistro par excellence. Des notes de poivron rouge grillé et de framboise. Il a ce côté ""canaille"" qui appelle une bonne bavette à l'échalote ou un repas simple entre amis.","Bistro, Poivron, Vif, Amis, Viande","Bavette, Steak frites"
8,"Chinon ""Les Grézeaux""",Rouge,Loire,Cabernet Franc,"€18,00",Un vin rouge avec du caractère mais de la fraîcheur. On sent le crayon à papier (graphite) et les fruits noirs. Idéal pour un dîner d'automne avec des plats mijotés simples.,"Caractère, Graphite, Fraîcheur, Automne, Mijoté","Pot-au-feu, Petit salé"
9,"Côtes du Rhône ""Parallèle 45""",Rouge,Rhône,"Grenache, Syrah","€12,00","Le passe-partout idéal. Chaleureux, épicé, avec des notes de poivre et de fruits noirs. C'est le vin de table parfait pour une pizza, des pâtes ou un burger improvisé.","Épicé, Chaleureux, Poivre, Pizza, Quotidien","Pizza, Burger, Pâtes"
10,"Crozes-Hermitage ""Les Meysonniers""",Rouge,Rhône,Syrah,"€24,00","Un vin violet foncé, sentant bon la violette, le lard fumé et le poivre noir. Très aromatique et séducteur. Parfait pour impressionner lors d'un dîner avec une viande rouge grillée.","Aromatique, Violette, Fumé, Dîner, Viande","Côte de bœuf, Agneau"
11,"Saint-Joseph ""Offerus""",Rouge,Rhône,Syrah,"€30,00","Un grand vin du Rhône, élégant et racé. Des tanins fins, une belle longueur. C'est un vin de gastronomie pour un repas soigné, un anniversaire ou une célébration.","Racé, Élégant, Longueur, Gastronomie, Célébration","Canard, Gibier"
12,"Châteauneuf-du-Pape ""La Fiole""",Rouge,Rhône,"Grenache, Syrah","€40,00","Un vin puissant, solaire et capiteux. Il sent la garrigue, les olives noires et le soleil. Idéal pour se réchauffer en hiver avec un plat très riche et consistant.","Puissant, Solaire, Garrigue, Hiver, Riche","Daube provençale, Fromages forts"
13,"Gigondas ""Dentelles""",Rouge,Rhône,"Grenache, Syrah","€28,00","Un vin corsé et généreux, avec beaucoup de matière. Il évoque les fruits confits et le cacao. Parfait pour les amateurs de vins qui ont du ""corps"" et de la mâche.","Corsé, Généreux, Cacao, Corps, Matière","Gibier en sauce, Chocolat noir"
14,"Vacqueyras ""Seigneur de Lauris""",Rouge,Rhône,"Grenache, Syrah","€22,00","Un vin rustique et authentique, aux arômes de cuir et d'épices. Il convient bien aux repas champêtres, à la chasse ou aux plats traditionnels du terroir.","Rustique, Authentique, Cuir, Terroir, Champêtre","Cassoulet, Saucisses"
15,"Bordeaux Supérieur ""Mouton Cadet""",Rouge,Bordeaux,"Merlot, Cabernet","€13,00","Un grand classique, rond et accessible. Des notes de fruits rouges et une touche boisée légère. C'est une valeur sûre pour un repas de famille où l'on veut contenter tout le monde.","Classique, Rond, Boisé léger, Famille, Valeur sûre","Rôti de bœuf, Fromages"
16,"Médoc ""Château Rollan de By""",Rouge,Bordeaux,"Merlot, Cabernet","€25,00","Un vin moderne, boisé et flatteur. On sent la vanille, le pain grillé et les fruits mûrs. Idéal pour ceux qui aiment les vins ""internationaux"" et bien élevés en barrique.","Boisé, Vanille, Moderne, Riche, Flatteur","Entrecôte grillée, Burger gourmet"
17,"Saint-Émilion Grand Cru ""Fombrauge""",Rouge,Bordeaux,Merlot,"€35,00",Un vin velouté et profond. Le Merlot lui donne un côté pruneau et truffe très charmeur. Parfait pour un dîner romantique chic ou Noël avec une belle volaille.,"Velouté, Profond, Truffe, Chic, Noël","Chapon, Tournedos Rossini"
18,"Pauillac ""Lacoste-Borie""",Rouge,Bordeaux,Cabernet Sauvignon,"€45,00","Un vin masculin, droit et austère dans sa jeunesse. Des arômes de cèdre, de boîte à cigares et de cassis. C'est un vin sérieux pour un repas d'affaires ou entre connaisseurs.","Masculin, Austère, Cèdre, Sérieux, Affaires","Agneau de Pauillac, Cèpes"
19,"Graves ""Château Rahoul""",Rouge,Bordeaux,"Merlot, Cabernet","€20,00","Un vin fumé et terreux, typique des graves. Il a une élégance discrète. Parfait pour accompagner un dimanche midi pluvieux avec un plat en sauce réconfortant.","Fumé, Terreux, Élégant, Dimanche, Réconfort","Blanquette de veau, Champignons"
20,"Pomerol ""Château de Sales""",Rouge,Bordeaux,Merlot,"€40,00","La douceur incarnée. Un vin caressant, rond, aux arômes de violette et de cerise noire. C'est le vin de la séduction et de la sensualité par excellence.","Doux, Caressant, Rond, Sensuel, Séduction","Filet mignon, Ris de veau"
21,"Cahors ""Château du Cèdre""",Rouge,Sud-Ouest,Malbec,"€18,00","Le ""vin noir"". Très sombre, très tannique, très puissant. Il faut aimer les vins qui accrochent un peu. Idéal avec des plats très gras comme le confit de canard.","Noir, Tannique, Puissant, Robuste, Gras","Confit de canard, Cassoulet"
22,"Madiran ""Montus""",Rouge,Sud-Ouest,Tannat,"€25,00","Un monstre de puissance et de structure. Des notes de mûre et de café. C'est un vin viril et massif, parfait pour accompagner une côte de bœuf au barbecue ou un gibier.","Massif, Viril, Café, Structure, Barbecue","Côte de bœuf, Sanglier"
23,"Languedoc ""Pic Saint-Loup""",Rouge,Languedoc,"Syrah, Grenache","€16,00","Un vin gorgé de soleil, aux arômes de garrigue (thym, romarin) et de laurier. Il est chaleureux et convivial, parfait pour les grandes tablées d'été.","Solaire, Garrigue, Herbes, Convivial, Été","Grillades aux herbes, Ratatouille"
24,"Corbières ""Castelmaure""",Rouge,Languedoc,Carignan,"€11,00","Un vin paysan dans le bon sens du terme : franc, direct et pas cher. Idéal pour un barbecue improvisé ou une soirée étudiante avec un bon rapport qualité-prix.","Franc, Rustique, Pas cher, Barbecue, Étudiant","Saucisses, Merguez"
25,"Bourgogne Pinot Noir ""Laforêt""",Rouge,Bourgogne,Pinot Noir,"€22,00","L'élégance bourguignonne accessible. Léger, sur le fruit frais (groseille), avec une belle acidité. Parfait pour ceux qui n'aiment pas les vins lourds ou boisés.","Élégant, Frais, Acide, Léger, Subtil","Poulet basquaise, Fromages"
26,Gevrey-Chambertin,Rouge,Bourgogne,Pinot Noir,"€60,00","Un grand vin de Bourgogne, puissant et complexe. Notes de cuir, de musc et de réglisse. C'est un vin de méditation ou pour une très grande occasion (mariage, anniversaire important).","Grand cru, Complexe, Cuir, Occasion, Méditation","Coq au vin, Epoisses"
27,"Chablis ""Saint Martin""",Blanc,Bourgogne,Chardonnay,"€24,00","Un blanc tranchant comme une lame de rasoir. Très sec, minéral, iodé. C'est le compagnon absolu des huîtres et des fruits de mer à Noël ou en bord de mer.","Tranchant, Sec, Minéral, Iodé, Mer","Huîtres, Coquillages"
28,"Meursault ""Les Clous""",Blanc,Bourgogne,Chardonnay,"€55,00","Un blanc gras, beurré, aux arômes de noisette grillée et de brioche. Très riche et opulent. C'est un vin blanc d'hiver, réconfortant et luxueux.","Gras, Beurré, Noisette, Riche, Luxe","Homard, Volaille à la crème"
29,Pouilly-Fuissé,Blanc,Bourgogne,Chardonnay,"€30,00","Un blanc ample et solaire, avec des notes de pêche jaune et d'amande. Il est à la fois frais et rond. Parfait pour un apéritif chic ou un poisson en sauce.","Ample, Solaire, Pêche, Rond, Chic",Poisson sauce beurre blanc
30,"Sancerre Blanc ""Les Monts Damnés""",Blanc,Loire,Sauvignon Blanc,"€26,00","L'archétype du Sauvignon : vif, nerveux, avec des arômes de pamplemousse et de buis. Une explosion de fraîcheur, idéal pour réveiller les papilles en début de repas.","Vif, Nerveux, Pamplemousse, Frais, Réveil","Crottin de Chavignol, Asperges"
31,"Pouilly-Fumé ""Ladoucette""",Blanc,Loire,Sauvignon Blanc,"€32,00","Semblable au Sancerre mais avec une note fumée, ""pierre à fusil"". Très minéral et droit. C'est un vin intellectuel et élégant pour les amateurs de pureté.","Fumé, Minéral, Droit, Pur, Élégant","Saumon fumé, Sushi"
32,"Muscadet Sèvre et Maine ""Sur Lie""",Blanc,Loire,Melon de Bourgogne,"€9,00","Le petit blanc sec et pas cher, idéal pour les fruits de mer. Léger, citronné, perlant (légèrement pétillant). C'est le vin des vacances à l'océan.","Sec, Pas cher, Citron, Léger, Océan","Moules frites, Huîtres"
33,"Riesling ""Cuvée Frédéric Emile""",Blanc,Alsace,Riesling,"€40,00","Un vin blanc sec mais très aromatique, avec des notes de pétrole (typique), de citron vert et de fleurs blanches. Très gastronomique, il tient tête aux plats acides ou épicés.","Aromatique, Pétrole, Citron, Gastronomique, Complexe","Choucroute, Cuisine thaï"
34,"Gewurztraminer ""Hugel""",Blanc,Alsace,Gewurztraminer,"€18,00","Une bombe aromatique : litchi, rose, épices. C'est un vin exubérant, légèrement sucré. On l'adore ou on le déteste. Parfait pour la cuisine exotique ou les desserts pas trop sucrés.","Exubérant, Litchi, Rose, Sucré, Exotique","Curry indien, Cuisine chinoise, Munster"
35,"Pinot Gris ""Turckheim""",Blanc,Alsace,Pinot Gris,"€14,00","Un blanc demi-sec, rond et fumé. Des notes de sous-bois et de fruits secs. C'est un vin d'automne, confortable, qui va bien avec des plats sucrés-salés.","Demi-sec, Rond, Fumé, Automne, Confort","Porc au caramel, Foie gras poêlé"
36,"Condrieu ""Guigal""",Blanc,Rhône,Viognier,"€45,00","Un vin blanc rare et envoûtant aux arômes d'abricot et de violette. Très gras et onctueux, sans acidité. C'est un vin de séduction pure, pour un moment magique à deux.","Abricot, Gras, Onctueux, Séduction, Rare","Asperges, Homard"
37,"Côtes de Provence ""Minuty""",Rosé,Provence,"Grenache, Cinsault","€18,00","Le rosé star des terrasses. Pâle, sec, aux notes de pêche et d'agrumes. Il évoque immédiatement Saint-Tropez, le soleil et les vacances glamour.","Pâle, Sec, Glamour, Vacances, Terrasse","Salade Niçoise, Melon"
38,"Tavel ""Guigal""",Rosé,Rhône,Grenache,"€16,00","Un ""rosé de gastronomie"", bien plus foncé et puissant qu'un Provence. Il ressemble presque à un rouge léger. Il peut accompagner tout un repas, même des viandes.","Foncé, Puissant, Gastronomique, Repas, Vineux","Cuisine épicée, Couscous"
39,Rosé d'Anjou,Rosé,Loire,Grolleau,"€8,00","Un rosé demi-sec, légèrement sucré, avec des goûts de bonbon anglais et de fraise. C'est le vin facile, ""piscine"", pour ceux qui n'aiment pas l'acidité ou l'amertume.","Sucré, Bonbon, Fraise, Facile, Piscine","Pizza, Desserts aux fruits"
40,"Bandol Rosé ""Tempier""",Rosé,Provence,Mourvèdre,"€30,00","Le roi des rosés. Structuré, complexe, capable de vieillir. Des notes d'épices et de fruits rouges. C'est un rosé sérieux pour un repas gastronomique en été.","Structuré, Complexe, Sérieux, Épices, Gastronomique","Bouillabaisse, Rougets"
41,"Champagne ""Ruinart Blanc de Blancs""",Bulles,Champagne,Chardonnay,"€80,00","L'élégance absolue. 100% Chardonnay, des bulles très fines, des arômes de brioche et de fleurs. C'est le vin des grandes célébrations, des fiançailles ou du Nouvel An.","Bulles, Élégant, Brioche, Luxe, Célébration","Apéritif, Caviar"
42,"Champagne ""Moët & Chandon""",Bulles,Champagne,"Pinot, Chardonnay","€40,00","Le classique festif. Rond, fruité, consensuel. C'est la bouteille qu'on ouvre pour faire la fête en boîte de nuit ou pour un anniversaire joyeux.","Festif, Rond, Classique, Joyeux, Party","Gâteau d'anniversaire, Toasts"
43,"Prosecco ""Valdo""",Bulles,Vénétie (Italie),Glera,"€12,00","Des bulles légères, fruitées et un peu sucrées. Beaucoup de poire et de pomme. C'est la base indispensable pour un Spritz ou un apéritif d'été sans prétention.","Léger, Fruité, Poire, Spritz, Été","Aperol Spritz, Antipasti"
44,Crémant d'Alsace,Bulles,Alsace,Pinot Blanc,"€10,00","L'alternative maline au Champagne. Vif, frais, propre. Idéal pour les grands mariages ou les fêtes où l'on veut des bulles de qualité sans se ruiner.","Vif, Frais, Malin, Mariage, Budget","Bretzels, Apéritif"
45,"Sauternes ""Château Rieussec""",Liquoreux,Bordeaux,Sémillon,"€60,00","De l'or liquide. Très sucré, notes de miel, d'abricot rôti et de safran. Un vin de méditation ou de dessert, à boire en petite quantité pour le plaisir pur.","Sucré, Miel, Or, Dessert, Plaisir","Roquefort, Foie gras"
46,Monbazillac,Liquoreux,Sud-Ouest,Sémillon,"€15,00","Le petit frère du Sauternes, plus accessible. Des notes de fruits confits et de miel. Parfait pour accompagner le foie gras à Noël sans dépenser une fortune.","Sucré, Confit, Noël, Accessible, Foie gras","Foie gras, Tarte tatin"
47,"Jurançon ""Uroulat""",Moelleux,Sud-Ouest,Petit Manseng,"€20,00","Un blanc moelleux mais avec une acidité exotique (ananas, mangue) qui le rend très digeste et pas écœurant. Superbe équilibre sucre/acide.","Moelleux, Exotique, Ananas, Frais, Digeste","Fromage de brebis, Curry"
48,Vin Jaune (Jura),Blanc,Jura,Savagnin,"€50,00","Un ovni. Goût de noix, de curry, de pomme verte. Très sec et oxydatif. Un vin pour curieux et passionnés, unique au monde. Inoubliable sur un comté affiné.","Noix, Curry, Oxydatif, Unique, Étrange","Comté 24 mois, Coq au vin jaune"
49,Saint-Pourçain,Blanc,Loire/Auvergne,Tressallier,"€9,00","Un vin blanc confidentiel, très sec et vif. Parfait pour sortir des sentiers battus et surprendre ses amis avec un vin qu'ils ne connaissent pas.","Original, Sec, Vif, Surprise, Rare","Charcuterie, Fromage"
50,Irouléguy Rouge,Rouge,Pays Basque,Tannat,"€18,00","Un vin de caractère, sanguin et ferreux, comme le pays Basque. Idéal avec une piperade ou du jambon de Bayonne. Il a du tempérament.","Caractère, Sanguin, Basque, Tempérament, Terroir","Piperade, Axoa de veau"
51,"Limoux ""Toques et Clochers""",Blanc,Languedoc,Chardonnay,"€15,00","Un Chardonnay du sud qui ressemble à un grand Bourgogne à l'aveugle. Boisé, gras, noisetté, mais 3 fois moins cher qu'un Meursault. Le bon plan expert.","Boisé, Gras, Noisette, Bon plan, Expert",Poulet à la crème
52,Patrimonio (Corse),Rouge,Corse,Nielluccio,"€22,00","Un vin rouge ensoleillé mais avec une fraîcheur insulaire. Notes de maquis, de fruits noirs et d'herbes sauvages. C'est la Corse dans un verre.","Solaire, Maquis, Sauvage, Corse, Herbes","Sanglier, Charcuterie corse"
53,"Chablis Grand Cru ""Les Clos""",Blanc,Bourgogne,Chardonnay,"€75,00","Le sommet du Chablis. Une puissance minérale incroyable. Il faut l'attendre un peu. C'est un vin intellectuel, très droit, pour un dîner de connaisseurs.","Minéral, Puissant, Droit, Connaisseur, Grand","Homard, Turbot"
54,"Côte-Rôtie ""Brune et Blonde""",Rouge,Rhône,Syrah,"€50,00","Un vin rouge mythique. Des arômes de violette, de bacon et de poivre. Une texture veloutée inoubliable. C'est le vin parfait pour célébrer une réussite professionnelle.","Mythique, Violette, Bacon, Velouté, Réussite","Pigeon, Côte de bœuf"
55,Entre-Deux-Mers,Blanc,Bordeaux,Sauvignon,"€8,00","Un blanc sec, vif et citronné. Très simple mais efficace pour les huîtres ou un plateau de fruits de mer sans prétention. Le vin du dimanche midi.","Sec, Citron, Simple, Efficace, Dimanche","Huîtres, Crevettes"
56,Pessac-Léognan Blanc,Blanc,Bordeaux,"Sauvignon, Sémillon","€35,00","Un blanc sec mais élevé en barrique. Il a du corps, du gras et des notes fumées. C'est un grand vin blanc de repas, capable de remplacer un vin rouge sur une viande blanche.","Boisé, Corps, Fumé, Repas, Gastronomique",Veau aux morilles
57,Rasteau Vin Doux Naturel,Rouge Doux,Rhône,Grenache,"€18,00","Un vin rouge sucré ! Très surprenant. Ça goûte la confiture de mûre, le chocolat et le café. C'est l'un des rares vins qui va vraiment bien avec le chocolat.","Rouge sucré, Confiture, Chocolat, Surprise, Dessert",Fondant au chocolat
58,Coteaux du Layon,Moelleux,Loire,Chenin,"€16,00","Un blanc moelleux, tendre, aux arômes de coing et de miel. Moins lourd qu'un Sauternes, il est très agréable à l'apéritif ou sur une tarte aux pommes.","Moelleux, Coing, Tendre, Léger, Apéritif","Tarte aux pommes, Bleu d'Auvergne"
59,"Fitou ""Mont Tauch""",Rouge,Languedoc,"Carignan, Grenache","€10,00","Un rouge du sud, chaud et épicé. Il sent la garrigue et les fruits mûrs à plein nez. Rustique mais généreux, parfait pour les barbecues d'été.","Chaud, Épicé, Garrigue, Rustique, Barbecue",Saucisse de Toulouse
60,"Arbois ""Poulsard""",Rouge,Jura,Poulsard,"€20,00","Un rouge très clair, presque un rosé foncé. Il sent le renard et la groseille (""animal""). Très léger en alcool, très original. C'est le vin ""hipster"" par excellence.","Clair, Animal, Groseille, Original, Hipster",Saucisse de Morteau
61,"Saint-Véran ""Les Deux Moulins""",Blanc,Bourgogne,Chardonnay,"€16,00","Un blanc rond et beurré mais très accessible. Il sent la poire mûre et l'amande fraîche. C'est le vin ""doudou"" du dimanche midi, réconfortant et consensuel.","Rond, Beurré, Poire, Confort, Dimanche","Poulet à la crème, Risotto"
62,"Quincy ""Jean-Michel Sorbe""",Blanc,Loire,Sauvignon Blanc,"€14,00","Moins connu que le Sancerre, mais tout aussi frais. Des notes d'herbe coupée, de menthe et d'agrumes. Idéal pour un pique-nique au printemps sur l'herbe.","Frais, Herbe, Menthe, Printemps, Pique-nique","Salade de chèvre chaud, Asperges"
63,Picpoul de Pinet,Blanc,Languedoc,Piquepoul,"€8,00","Un vin blanc vif, citronné et salin. Il sent la mer et les embruns. C'est le compagnon absolu et pas cher pour un plateau d'huîtres en terrasse.","Vif, Salin, Mer, Terrasse, Huîtres","Huîtres, Moules marinières"
64,"Viognier ""Îles Blanches""",Blanc,Rhône,Viognier,"€12,00","Une explosion d'abricot et de pêche jaune. Très aromatique et flatteur, sans acidité agressive. Parfait pour l'apéritif ou pour ceux qui n'aiment pas les vins trop secs.","Abricot, Aromatique, Flatteur, Apéritif, Doux","Cuisine thaï, Tajine"
65,"Cassis Blanc ""Bodadère""",Blanc,Provence,"Marsanne, Clairette","€22,00","Un blanc du sud, ample et floral, avec des notes de fenouil et d'anis. Il évoque la garrigue et les calanques. Idéal sur une bouillabaisse ou un poisson grillé.","Ample, Floral, Anis, Sud, Calanques","Bouillabaisse, Loup grillé"
66,Chignin-Bergeron (Savoie),Blanc,Savoie,Roussanne,"€18,00","Un vin de montagne, riche et généreux. Des arômes de miel, de coing et d'abricot sec. Il réchauffe après une journée de ski ou une randonnée fraîche.","Montagne, Miel, Riche, Ski, Hiver","Fondue savoyarde, Tartiflette"
67,Pacherenc du Vic-Bilh Sec,Blanc,Sud-Ouest,Petit Courbu,"€13,00","Un blanc original et méconnu. Très frais, avec des notes d'agrumes exotiques et de fleurs des champs. Pour les curieux qui veulent sortir des sentiers battus.","Original, Exotique, Frais, Curiosité, Fleurs","Poissons crus, Ceviche"
68,"Graves Blanc ""Château Chantegrive""",Blanc,Bordeaux,"Sémillon, Sauvignon","€19,00","Un blanc élégant, élevé en fût de chêne. Il a du gras et des notes de vanille et de pain grillé. C'est un vin de repas, capable d'accompagner une viande blanche.","Élégant, Boisé, Gras, Repas, Vanille","Blanquette de veau, Fromages"
69,"Riesling ""Grand Cru Schlossberg""",Blanc,Alsace,Riesling,"€35,00","Un vin blanc sec d'une grande pureté. Minéral, cristallin, avec une acidité tranchante. C'est un vin de gastronomie pour les amateurs de précision.","Pur, Minéral, Tranchant, Gastronomie, Précision","Poissons nobles, Choucroute"
70,Viré-Clessé,Blanc,Bourgogne,Chardonnay,"€17,00","Un Chardonnay solaire, avec des notes de fruits jaunes et de fleurs d'acacia. Il est joyeux et lumineux, parfait pour un déjeuner d'anniversaire.","Solaire, Fruité, Acacia, Joyeux, Lumineux","Volailles, Poissons en sauce"
71,"Côtes de Gascogne ""Uby N°3""",Blanc,Sud-Ouest,"Colombard, Sauvignon","€7,00","Le champion des apéros étudiants. Très fruité, exubérant (pamplemousse, passion), un peu sucré en finale. Facile, pas cher et festif.","Fruité, Passion, Etudiant, Facile, Festif","Apéritif, Salades d'été"
